"","sample_ID","PERE_total_reads","phiX_mapped_prop","PERE_mapped_reads","PERE_QC_failed_reads","PERE_mapped_prop","population","added_prop"
"129","PERE_P16-352",1040,0.251,261,779,0.7404,15,0.9914
"130","PERE_P16-2",45938,0.9913,45539,399,0,9,0.9913
"131","PERE_P16-26",16282,0.9913,16140,142,0,8,0.9913
"132","PERE_P16-176",1176,0.3248,382,794,0.6664,13,0.9912
"133","PERE_P16-109",790,0.1848,146,644,0.8063,1,0.9911
"134","PERE_P16-75",1650,0.0012,2,1648,0.9896,1,0.9908
"135","PERE_P16-172",46069,0.964,44409,1660,0.0267,5,0.9907
"136","PERE_P16-89",2187932,0.9904,2167035,20897,3e-04,8,0.9907
"137","PERE_P16-100",1317583,0.9895,1303786,13797,9e-04,12,0.9904
"138","PERE_P16-332",366097,0.9893,362179,3918,0.0011,14,0.9904
"139","PERE_P16-285",914520,0.9881,903631,10889,0.0021,5,0.9902
"140","PERE_P16-91",4183180,0.9895,4139457,43723,5e-04,12,0.99
"141","PERE_P16-132",5739491,0.9897,5680376,59115,1e-04,3,0.9898
"142","PERE_P16-147",868,0.0081,7,861,0.9816,3,0.9897
"143","PERE_P16-149",18458,0.9614,17745,713,0.0283,1,0.9897
"144","PERE_P16-65",541363,0.9861,533834,7529,0.0036,5,0.9897
"145","PERE_P16-170",715706,0.9886,707561,8145,0.001,11,0.9896
"146","PERE_P16-9",189887,0.9895,187901,1986,0,7,0.9895
"147","PERE_P16-362",360,0.0056,2,358,0.9837,16,0.9893
"148","PERE_P16-213",261481,0.9871,258105,3376,0.0019,14,0.989
"149","PERE_P16-36",542260,0.989,536283,5977,0,8,0.989
"150","PERE_P16-342",356,0,0,356,0.9888,14,0.9888
"151","PERE_P16-341",102191,0.9735,99483,2708,0.0152,14,0.9887
"152","PERE_P16-310",964004,0.988,952456,11548,6e-04,11,0.9886
"153","PERE_P16-320",1570567,0.9882,1552002,18565,3e-04,12,0.9885
"154","PERE_P16-21",171756,0.9883,169743,2013,0,3,0.9883
"155","PERE_P16-229",118361,0.9788,115851,2510,0.0095,14,0.9883
"156","PERE_P16-8",379390,0.9883,374962,4428,0,11,0.9883
"157","PERE_P16-224",37252,0.9743,36294,958,0.0139,14,0.9882
"158","PERE_P16-307",30240,0.9447,28568,1672,0.0433,11,0.988
"159","PERE_P16-311",3569042,0.9878,3525438,43604,1e-04,11,0.9879
"160","PERE_P16-105",2581067,0.987,2547640,33427,8e-04,7,0.9878
"161","PERE_P16-30",97208,0.9878,96025,1183,0,13,0.9878
"162","PERE_P16-142",7145740,0.9876,7057054,88686,1e-04,12,0.9877
"163","PERE_P16-39",46953,0.9877,46375,578,0,12,0.9877
"164","PERE_P16-303",1063907,0.9859,1048926,14981,0.0013,10,0.9872
"165","PERE_P16-210",11328,0.9209,10432,896,0.0662,14,0.9871
"166","PERE_P16-313",7270942,0.9869,7175530,95412,1e-04,11,0.987
"167","PERE_P16-138",840993,0.9857,828986,12007,0.0012,9,0.9869
"168","PERE_P16-275",1380,0.0478,66,1314,0.939,16,0.9868
"169","PERE_P16-308",1207654,0.9843,1188657,18997,0.0025,11,0.9868
"170","PERE_P16-319",922003,0.9847,907875,14128,0.002,12,0.9867
"171","PERE_P16-329",303416,0.9826,298129,5287,0.004,13,0.9866
"172","PERE_P16-306",153869,0.9777,150444,3425,0.0086,11,0.9863
"173","PERE_P16-359",1962886,0.9855,1934409,28477,8e-04,16,0.9863
